"Get Directions","Como chegar"
"Show on Google Map","Mostrar no Google Maps"
"From","De"
"No store located","Nenhuma loja localizada"
"You are here","Você está aqui"
"The closest store is","A loja mais próxima é"
"No result found.","Nenhum resultado encontrado."
"Unable to find your location","Incapaz de encontrar a sua localização"
"Distance calculation failed","Cálculo de distância falhou"
"show my location","mostrar minha localização"
"change my location","alterar minha localização"
"Your location","Sua localização"
"Find me","Encontre-me"
"Enter your location (city, address, zipcode...)","Digite sua localização (Cidade, Endereço, CEP...)"
"Set a new location","Definir um novo local"
"Your directions","Suas direções"
"Close","Fechar"
"Print","Imprimir"
"Searching your location","Buscando a sua localização"
"All our store locations","Todas as nossas lojas"
"Select a country :","Selecione um país"
"All countries","Todos os países"
        
