"Invoice (notify Customer)","Fatura (notificando o cliente)"
"Invoice (don't notify Customer)","Fatura (sem notificar o cliente)"
"Invoice / Print (notify Customer)","Fatura / Imprimir (notificando o cliente)"
"Invoice / Print (don't notify Customer)","Fatura / Imprimir (sem notificar o cliente)"
"Ship (notify Customer)","Envio (notificando o cliente)"
"Ship (don't notify Customer)","Envio (sem notificar o cliente)"
"Ship / Print (notify Customer)","Envio / Imprimir (notificando o cliente)"
"Ship / Print (don't notify Customer)","Envio / Imprimir (sem notificar o cliente)"
"Invoice / Ship (notify Customer)","Fatura / Envio (notificando o cliente)"
"Invoice / Ship (don't notify Customer)","Fatura / Envio (sem notificar o cliente)"
"Invoice / Ship / Print (notify Customer)","Fatura / Envio / Imprimir (notificando o cliente)"
"Invoice / Ship / Print (don't notify Customer)","Fatura / Envio / Imprimir (sem notificar o cliente)"
"Invoice / Ship / Complete (notify Customer)","Fatura / Envio / Pedido Completado (notificando o cliente)"
"Invoice / Ship / Complete (don't notify Customer)","Fatura / Envio / Pedido Completado (sem notificar o cliente)"
"Invoice / Ship / Complete / Print (notify Customer)","Fatura / Envio / Pedido Completado / Imprimir (notificando o cliente)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Fatura / Envio / Pedido Completado / Imprimir (sem notificar o cliente)"
"Complete Order","Pedido Completado"
"Set Order Status to '%s'","Alterar status para '%s'"
"Delete Order (canceled-only)","Deletar pedido (somente pedidos cancelados)"


